State Name,State Fips,Year,Quarter,Month,MW,
Alabama,1,1960,1,1,1, 
Alabama,1,1960,1,2,1,
Alabama,1,1960,1,3,1,
Alabama,1,1960,2,4,1,
Alabama,1,1960,2,5,1,
Alabama,1,1960,2,6,1,
Alabama,1,1960,3,7,1,
Alabama,1,1960,3,8,1,
Alabama,1,1960,3,9,1,
Alabama,1,1960,4,10,1,
Alabama,1,1960,4,11,1,
Alabama,1,1960,4,12,1,
Alabama,1,1961,1,1,1,
Alabama,1,1961,1,2,1,
Alabama,1,1961,1,3,1,
Alabama,1,1961,2,4,1,
Alabama,1,1961,2,5,1,
Alabama,1,1961,2,6,1,
Alabama,1,1961,3,7,1,
Alabama,1,1961,3,8,1,
Alabama,1,1961,3,9,1.15,
Alabama,1,1961,4,10,1.15,
Alabama,1,1961,4,11,1.15,
Alabama,1,1961,4,12,1.15,
Alabama,1,1962,1,1,1.15,
Alabama,1,1962,1,2,1.15,
Alabama,1,1962,1,3,1.15,
Alabama,1,1962,2,4,1.15,
Alabama,1,1962,2,5,1.15,
Alabama,1,1962,2,6,1.15,
Alabama,1,1962,3,7,1.15,
Alabama,1,1962,3,8,1.15,
Alabama,1,1962,3,9,1.15,
Alabama,1,1962,4,10,1.15,
Alabama,1,1962,4,11,1.15,
Alabama,1,1962,4,12,1.15,
Alabama,1,1963,1,1,1.15,
Alabama,1,1963,1,2,1.15,
Alabama,1,1963,1,3,1.15,
Alabama,1,1963,2,4,1.15,
Alabama,1,1963,2,5,1.15,
Alabama,1,1963,2,6,1.15,
Alabama,1,1963,3,7,1.15,
Alabama,1,1963,3,8,1.15,
Alabama,1,1963,3,9,1.25,
Alabama,1,1963,4,10,1.25,
Alabama,1,1963,4,11,1.25,
Alabama,1,1963,4,12,1.25,
Alabama,1,1964,1,1,1.25,
Alabama,1,1964,1,2,1.25,
Alabama,1,1964,1,3,1.25,
Alabama,1,1964,2,4,1.25,
Alabama,1,1964,2,5,1.25,
Alabama,1,1964,2,6,1.25,
Alabama,1,1964,3,7,1.25,
Alabama,1,1964,3,8,1.25,
Alabama,1,1964,3,9,1.25,
Alabama,1,1964,4,10,1.25,
Alabama,1,1964,4,11,1.25,
Alabama,1,1964,4,12,1.25,
Alabama,1,1965,1,1,1.25,
Alabama,1,1965,1,2,1.25,
Alabama,1,1965,1,3,1.25,
Alabama,1,1965,2,4,1.25,
Alabama,1,1965,2,5,1.25,
Alabama,1,1965,2,6,1.25,
Alabama,1,1965,3,7,1.25,
Alabama,1,1965,3,8,1.25,
Alabama,1,1965,3,9,1.25,
Alabama,1,1965,4,10,1.25,
Alabama,1,1965,4,11,1.25,
Alabama,1,1965,4,12,1.25,
Alabama,1,1966,1,1,1.25,
Alabama,1,1966,1,2,1.25,
Alabama,1,1966,1,3,1.25,
Alabama,1,1966,2,4,1.25,
Alabama,1,1966,2,5,1.25,
Alabama,1,1966,2,6,1.25,
Alabama,1,1966,3,7,1.25,
Alabama,1,1966,3,8,1.25,
Alabama,1,1966,3,9,1.25,
Alabama,1,1966,4,10,1.25,
Alabama,1,1966,4,11,1.25,
Alabama,1,1966,4,12,1.25,
Alabama,1,1967,1,1,1.25,
Alabama,1,1967,1,2,1.4,
Alabama,1,1967,1,3,1.4,
Alabama,1,1967,2,4,1.4,
Alabama,1,1967,2,5,1.4,
Alabama,1,1967,2,6,1.4,
Alabama,1,1967,3,7,1.4,
Alabama,1,1967,3,8,1.4,
Alabama,1,1967,3,9,1.4,
Alabama,1,1967,4,10,1.4,
Alabama,1,1967,4,11,1.4,
Alabama,1,1967,4,12,1.4,
Alabama,1,1968,1,1,1.4,
Alabama,1,1968,1,2,1.6,
Alabama,1,1968,1,3,1.6,
Alabama,1,1968,2,4,1.6,
Alabama,1,1968,2,5,1.6,
Alabama,1,1968,2,6,1.6,
Alabama,1,1968,3,7,1.6,
Alabama,1,1968,3,8,1.6,
Alabama,1,1968,3,9,1.6,
Alabama,1,1968,4,10,1.6,
Alabama,1,1968,4,11,1.6,
Alabama,1,1968,4,12,1.6,
Alabama,1,1969,1,1,1.6,
Alabama,1,1969,1,2,1.6,
Alabama,1,1969,1,3,1.6,
Alabama,1,1969,2,4,1.6,
Alabama,1,1969,2,5,1.6,
Alabama,1,1969,2,6,1.6,
Alabama,1,1969,3,7,1.6,
Alabama,1,1969,3,8,1.6,
Alabama,1,1969,3,9,1.6,
Alabama,1,1969,4,10,1.6,
Alabama,1,1969,4,11,1.6,
Alabama,1,1969,4,12,1.6,
Alabama,1,1970,1,1,1.6,
Alabama,1,1970,1,2,1.6,
Alabama,1,1970,1,3,1.6,
Alabama,1,1970,2,4,1.6,
Alabama,1,1970,2,5,1.6,
Alabama,1,1970,2,6,1.6,
Alabama,1,1970,3,7,1.6,
Alabama,1,1970,3,8,1.6,
Alabama,1,1970,3,9,1.6,
Alabama,1,1970,4,10,1.6,
Alabama,1,1970,4,11,1.6,
Alabama,1,1970,4,12,1.6,
Alabama,1,1971,1,1,1.6,
Alabama,1,1971,1,2,1.6,
Alabama,1,1971,1,3,1.6,
Alabama,1,1971,2,4,1.6,
Alabama,1,1971,2,5,1.6,
Alabama,1,1971,2,6,1.6,
Alabama,1,1971,3,7,1.6,
Alabama,1,1971,3,8,1.6,
Alabama,1,1971,3,9,1.6,
Alabama,1,1971,4,10,1.6,
Alabama,1,1971,4,11,1.6,
Alabama,1,1971,4,12,1.6,
Alabama,1,1972,1,1,1.6,
Alabama,1,1972,1,2,1.6,
Alabama,1,1972,1,3,1.6,
Alabama,1,1972,2,4,1.6,
Alabama,1,1972,2,5,1.6,
Alabama,1,1972,2,6,1.6,
Alabama,1,1972,3,7,1.6,
Alabama,1,1972,3,8,1.6,
Alabama,1,1972,3,9,1.6,
Alabama,1,1972,4,10,1.6,
Alabama,1,1972,4,11,1.6,
Alabama,1,1972,4,12,1.6,
Alabama,1,1973,1,1,1.6,
Alabama,1,1973,1,2,1.6,
Alabama,1,1973,1,3,1.6,
Alabama,1,1973,2,4,1.6,
Alabama,1,1973,2,5,1.6,
Alabama,1,1973,2,6,1.6,
Alabama,1,1973,3,7,1.6,
Alabama,1,1973,3,8,1.6,
Alabama,1,1973,3,9,1.6,
Alabama,1,1973,4,10,1.6,
Alabama,1,1973,4,11,1.6,
Alabama,1,1973,4,12,1.6,
Alabama,1,1974,1,1,1.6,
Alabama,1,1974,1,2,1.6,
Alabama,1,1974,1,3,1.6,
Alabama,1,1974,2,4,1.6,
Alabama,1,1974,2,5,2,
Alabama,1,1974,2,6,2,
Alabama,1,1974,3,7,2,
Alabama,1,1974,3,8,2,
Alabama,1,1974,3,9,2,
Alabama,1,1974,4,10,2,
Alabama,1,1974,4,11,2,
Alabama,1,1974,4,12,2,
Alabama,1,1975,1,1,2.1,
Alabama,1,1975,1,2,2.1,
Alabama,1,1975,1,3,2.1,
Alabama,1,1975,2,4,2.1,
Alabama,1,1975,2,5,2.1,
Alabama,1,1975,2,6,2.1,
Alabama,1,1975,3,7,2.1,
Alabama,1,1975,3,8,2.1,
Alabama,1,1975,3,9,2.1,
Alabama,1,1975,4,10,2.1,
Alabama,1,1975,4,11,2.1,
Alabama,1,1975,4,12,2.1,
Alabama,1,1976,1,1,2.3,
Alabama,1,1976,1,2,2.3,
Alabama,1,1976,1,3,2.3,
Alabama,1,1976,2,4,2.3,
Alabama,1,1976,2,5,2.3,
Alabama,1,1976,2,6,2.3,
Alabama,1,1976,3,7,2.3,
Alabama,1,1976,3,8,2.3,
Alabama,1,1976,3,9,2.3,
Alabama,1,1976,4,10,2.3,
Alabama,1,1976,4,11,2.3,
Alabama,1,1976,4,12,2.3,
Alabama,1,1977,1,1,2.3,
Alabama,1,1977,1,2,2.3,
Alabama,1,1977,1,3,2.3,
Alabama,1,1977,2,4,2.3,
Alabama,1,1977,2,5,2.3,
Alabama,1,1977,2,6,2.3,
Alabama,1,1977,3,7,2.3,
Alabama,1,1977,3,8,2.3,
Alabama,1,1977,3,9,2.3,
Alabama,1,1977,4,10,2.3,
Alabama,1,1977,4,11,2.3,
Alabama,1,1977,4,12,2.3,
Alabama,1,1978,1,1,2.65,
Alabama,1,1978,1,2,2.65,
Alabama,1,1978,1,3,2.65,
Alabama,1,1978,2,4,2.65,
Alabama,1,1978,2,5,2.65,
Alabama,1,1978,2,6,2.65,
Alabama,1,1978,3,7,2.65,
Alabama,1,1978,3,8,2.65,
Alabama,1,1978,3,9,2.65,
Alabama,1,1978,4,10,2.65,
Alabama,1,1978,4,11,2.65,
Alabama,1,1978,4,12,2.65,
Alabama,1,1979,1,1,2.9,
Alabama,1,1979,1,2,2.9,
Alabama,1,1979,1,3,2.9,
Alabama,1,1979,2,4,2.9,
Alabama,1,1979,2,5,2.9,
Alabama,1,1979,2,6,2.9,
Alabama,1,1979,3,7,2.9,
Alabama,1,1979,3,8,2.9,
Alabama,1,1979,3,9,2.9,
Alabama,1,1979,4,10,2.9,
Alabama,1,1979,4,11,2.9,
Alabama,1,1979,4,12,2.9,
Alabama,1,1980,1,1,3.1,
